id	filename	md5	size	state
01aeccaf-0178-43d7-8273-b0bf9eeacddb	01aeccaf-0178-43d7-8273-b0bf9eeacddb/0fd97692-8c0f-42c4-820e-bf4313a40bc3.rna_seq.augmented_star_gene_counts.tsv	ceb1a0b948c771616cf8eee103fa47dd	4233182	validated
07641b94-88bc-4aad-a266-5e1b84c099ff	07641b94-88bc-4aad-a266-5e1b84c099ff/84f803bd-de01-4f17-9fb0-95e2a2f8f760.rna_seq.augmented_star_gene_counts.tsv	5c65cfd1eedf9bec563d64fb02410002	4213438	validated
1591d97a-2d89-4dcb-a259-c8b40abe74a1	1591d97a-2d89-4dcb-a259-c8b40abe74a1/239f8a86-abe1-4db6-98f1-a695f2a818cc.rna_seq.augmented_star_gene_counts.tsv	63caf386c50135861b1fc84cbc289da9	4206233	validated
18ac8921-f406-4872-88a2-8dd0f06b63b4	18ac8921-f406-4872-88a2-8dd0f06b63b4/d9e5a638-0a22-4a5d-bc00-2551f7460f15.rna_seq.augmented_star_gene_counts.tsv	07dd8660d12ea8d7f7a41cb1704d1077	4210101	validated
26211ffe-ded4-449c-9212-5a2f44dcd30e	26211ffe-ded4-449c-9212-5a2f44dcd30e/c0949e66-c7f4-4bed-be93-0cd60fe78f98.rna_seq.augmented_star_gene_counts.tsv	ed58882af549aeaa553b9ca846b179ec	4248658	validated
34cbaaae-5925-4066-88c9-be443f6c361b	34cbaaae-5925-4066-88c9-be443f6c361b/0abd64cb-7beb-42c7-a035-94ea554a04ee.rna_seq.augmented_star_gene_counts.tsv	fe5725a0158326bc79aebb36b4b095b2	4234705	validated
4a44fea8-96bd-42e7-8890-b73e41e5132a	4a44fea8-96bd-42e7-8890-b73e41e5132a/07952543-a0d5-4b90-98df-931911348067.rna_seq.augmented_star_gene_counts.tsv	6554484bc62860438c75bda56d126548	4243427	validated
50a86449-68b6-4a14-8c41-a746c82d37ac	50a86449-68b6-4a14-8c41-a746c82d37ac/3007a0f0-59d9-4f80-8c8e-aefd43c18eaa.rna_seq.augmented_star_gene_counts.tsv	3070704861854d901a030cc6ec0489b7	4234180	validated
6234795a-a63a-4234-bc8b-a989a646a065	6234795a-a63a-4234-bc8b-a989a646a065/ec414cda-cfd3-4d40-924f-5a992046b273.rna_seq.augmented_star_gene_counts.tsv	6417fb2f83b7f725c6acae2691867d23	4250044	validated
6264df46-551d-4c8d-bccd-a00f2a2c1eb1	6264df46-551d-4c8d-bccd-a00f2a2c1eb1/1a33b920-ed1e-4f57-b33c-0746884c0aaf.rna_seq.augmented_star_gene_counts.tsv	c0cb7a46fc9635b8e1f991e6394c6ad5	4229720	validated
679a876c-3348-426f-8892-f5723d2b689f	679a876c-3348-426f-8892-f5723d2b689f/e87beab5-8010-43eb-9208-b801c61d8af8.rna_seq.augmented_star_gene_counts.tsv	34ea98cad8e0b63b412b9f4b8ad5c85b	4227646	validated
689034a5-8e16-4f82-8ec8-6c6452ae1542	689034a5-8e16-4f82-8ec8-6c6452ae1542/328260a1-b6e8-4c30-8d7f-d62bc8fac555.rna_seq.augmented_star_gene_counts.tsv	89eabe60c652b4aa0f324a2a2de226b9	4231029	validated
7aab022a-8eeb-4e17-9387-2c9f5d4840b1	7aab022a-8eeb-4e17-9387-2c9f5d4840b1/b5378acd-5d09-4655-af4d-a175271beca0.rna_seq.augmented_star_gene_counts.tsv	423d77453a6940ce1dc32a2a2f471cb4	4230013	validated
84241123-0f4c-40de-b0b4-b9966af2c101	84241123-0f4c-40de-b0b4-b9966af2c101/ecb8a3ae-3e47-4e49-ba02-075eb69424d7.rna_seq.augmented_star_gene_counts.tsv	a469345647076bd5a5d4f3856cce51d2	4222201	validated
8c5f7577-1dc1-4b0c-aaae-e7ca09cf1062	8c5f7577-1dc1-4b0c-aaae-e7ca09cf1062/fd7580e5-8eae-4234-b9ee-067aeaf1dd1c.rna_seq.augmented_star_gene_counts.tsv	9ab23c2c327a3e93f33d4434c27cb90e	4252004	validated
a433517a-bbf5-4d65-9225-309b29317f4a	a433517a-bbf5-4d65-9225-309b29317f4a/f77fbcae-94e2-4656-8e58-925aa6c68212.rna_seq.augmented_star_gene_counts.tsv	395f92eaa85568fb739ed46c7a9e1264	4259688	validated
a7474755-f3dc-4a63-bc79-b9d10ee278af	a7474755-f3dc-4a63-bc79-b9d10ee278af/a1ef8ec0-27af-4096-a29b-fc0a62f364f4.rna_seq.augmented_star_gene_counts.tsv	5738bd31219a209ab0a373e8430f02bd	4247351	validated
aaf4d262-675c-403d-8dcf-17d141736b76	aaf4d262-675c-403d-8dcf-17d141736b76/fe43aeae-df65-4a82-bf9f-cecb23ce1fcb.rna_seq.augmented_star_gene_counts.tsv	1f77d3e8b5d95f6d3fc45c57197aa2e2	4222942	validated
aedc21ec-5cc4-4483-b476-6af9a02c48c0	aedc21ec-5cc4-4483-b476-6af9a02c48c0/020a52ec-b5d3-4417-896d-343bbded97dc.rna_seq.augmented_star_gene_counts.tsv	424fa93ca68f01855b0f16856df7fd7f	4246973	validated
af3cde46-7c75-4e30-939a-b4b10e466e23	af3cde46-7c75-4e30-939a-b4b10e466e23/97d15d36-d18f-4af5-8aba-12aa35dcc4a5.rna_seq.augmented_star_gene_counts.tsv	64c74df7c756ac6736167ba8e6be1a10	4223242	validated
b59e69ac-544b-49a1-a805-15ef065885ab	b59e69ac-544b-49a1-a805-15ef065885ab/4aa404c5-683d-4275-8806-45568beda8ea.rna_seq.augmented_star_gene_counts.tsv	3773dd395aea9510f310ac0d76048843	4244171	validated
c1bbf114-1078-4925-8cb5-6772fe199cdb	c1bbf114-1078-4925-8cb5-6772fe199cdb/44b89131-757f-4f93-9e83-b7011ee83266.rna_seq.augmented_star_gene_counts.tsv	17912db2aa2ec066bae4a67660ed48bb	4198563	validated
c2846940-266d-4f82-9524-74a8424fec54	c2846940-266d-4f82-9524-74a8424fec54/3b85762d-91f0-4577-8c67-061d26c46510.rna_seq.augmented_star_gene_counts.tsv	77efe854919d5bb2778091cb71355f10	4205784	validated
c364904b-b03f-4ea5-b1a6-d157292f4fed	c364904b-b03f-4ea5-b1a6-d157292f4fed/2e249b36-632c-43f6-94f0-9da8eb1d6157.rna_seq.augmented_star_gene_counts.tsv	2768ca7ac80aec49d7c24d19313f0ed6	4225873	validated
c423b6dd-3d96-4207-8fc7-14e43bf01ac8	c423b6dd-3d96-4207-8fc7-14e43bf01ac8/c9755c9b-150d-472b-88ec-004a98a76344.rna_seq.augmented_star_gene_counts.tsv	f9e64e8a5745d3693833d8f9512498fe	4237896	validated
c534597f-be49-45ca-a1cd-7cf40f1a5d1c	c534597f-be49-45ca-a1cd-7cf40f1a5d1c/2e0fee8e-a78a-49a9-a26d-2a2f17ef4fdd.rna_seq.augmented_star_gene_counts.tsv	86e553530fb96fd32dfd26f1fc52bbe1	4247530	validated
cb4c384b-8aa9-4f0c-9ba0-2f8948952a6d	cb4c384b-8aa9-4f0c-9ba0-2f8948952a6d/b3fa254d-c343-424e-aea2-cc69f12b71d1.rna_seq.augmented_star_gene_counts.tsv	66f0ac7f888b0625146df1759fd672b7	4248876	validated
cb8211ab-7897-4a22-9f70-034add8d86ce	cb8211ab-7897-4a22-9f70-034add8d86ce/5aecb346-2b6e-45b9-9936-c6422030402b.rna_seq.augmented_star_gene_counts.tsv	8f3f9dd00f8bea6ae46144a8b69f10bf	4235953	validated
d640b9e9-46fc-401c-914b-b7a01324384a	d640b9e9-46fc-401c-914b-b7a01324384a/637786cd-8664-4f42-a6b0-3d19ab19e0f2.rna_seq.augmented_star_gene_counts.tsv	06136dbc8644e91f3d686a5c2bde711a	4212389	validated
d83b729b-00a6-405f-bcf7-7a445329cfda	d83b729b-00a6-405f-bcf7-7a445329cfda/36414e85-df5b-48b1-aac7-99a200289288.rna_seq.augmented_star_gene_counts.tsv	901dea932ef9467d1a8d1aa027e3ce24	4237380	validated
dddc0f14-a0b7-4ed7-b041-0c6d481d5651	dddc0f14-a0b7-4ed7-b041-0c6d481d5651/b0ef7601-703b-425f-9965-221a4f1f9374.rna_seq.augmented_star_gene_counts.tsv	4e2851577170cfdfb9305c546a2f4830	4251651	validated
dedb44b0-1b68-4471-8003-8a6ee554166a	dedb44b0-1b68-4471-8003-8a6ee554166a/9e76b324-1c85-476e-af4a-e77fec39fb4d.rna_seq.augmented_star_gene_counts.tsv	99d45e37edf4a42d1da66b7942fd6ca4	4240931	validated
dfe7aa23-7ee2-4b3a-afe4-b6e1e8a4c0d4	dfe7aa23-7ee2-4b3a-afe4-b6e1e8a4c0d4/d17adfee-d618-4946-bc9e-385ee881c413.rna_seq.augmented_star_gene_counts.tsv	d3566daa0f4e8b4f3befc35dec052903	4251674	validated
e3973074-5d3e-48e4-8447-f8ebc008b12e	e3973074-5d3e-48e4-8447-f8ebc008b12e/f887a847-86dc-41be-9b36-a9c0a2ca94c9.rna_seq.augmented_star_gene_counts.tsv	c57df4de85e66f0ff845c6478a78cde5	4250551	validated
eeca913c-26ed-4938-b706-8b90c90a6fca	eeca913c-26ed-4938-b706-8b90c90a6fca/a14fb1d6-2c15-4b0e-925d-b8635039257c.rna_seq.augmented_star_gene_counts.tsv	4352fe70109f5d67446182bbc11296fa	4226313	validated
fc9c9c65-6c7b-4fa7-87c2-dcc7d6906350	fc9c9c65-6c7b-4fa7-87c2-dcc7d6906350/ebbe416a-c579-4822-96df-66f90af4ecab.rna_seq.augmented_star_gene_counts.tsv	da0f9cf1e15a07941f2d2dfaee41ec57	4248388	validated
